,loss,auc,log_loss,val_loss,val_auc,val_log_loss
0,1.340732216835022,0.5294443964958191,0.6029114127159119,0.6139923334121704,0.38065916299819946,0.6112921833992004
1,0.5193825960159302,0.5516795516014099,0.5176398754119873,0.45749807357788086,0.5145824551582336,0.4561319053173065
2,0.5053785443305969,0.5520422458648682,0.5042531490325928,0.4636712372303009,0.5748290419578552,0.46265822649002075
3,0.48846277594566345,0.5775452852249146,0.48754197359085083,0.4650118947029114,0.5707295536994934,0.464258074760437
4,0.49742501974105835,0.557415246963501,0.4966972768306732,0.4658083915710449,0.574232280254364,0.46513909101486206
5,0.4928622841835022,0.5567306280136108,0.49220138788223267,0.46595969796180725,0.5763251185417175,0.46536263823509216
6,0.4910869896411896,0.5554733872413635,0.49048253893852234,0.4662666916847229,0.5786305665969849,0.4656520485877991
7,0.48572999238967896,0.5694631338119507,0.485141783952713,0.4647529423236847,0.5752580761909485,0.4641696512699127
8,0.4855578541755676,0.5623261332511902,0.4850423336029053,0.4642009437084198,0.5842125415802002,0.463712602853775
9,0.4859289228916168,0.5510146617889404,0.48546019196510315,0.4632440507411957,0.5754623413085938,0.46278709173202515
10,0.4844827353954315,0.5604331493377686,0.4840122163295746,0.46321046352386475,0.5793687105178833,0.4627065062522888
11,0.48417481780052185,0.5595032572746277,0.483701229095459,0.4633602797985077,0.5698055624961853,0.46291202306747437
12,0.47894465923309326,0.5627865791320801,0.47851550579071045,0.4629136621952057,0.5739558935165405,0.4625013470649719
13,0.48052218556404114,0.55470871925354,0.480102002620697,0.46260687708854675,0.5673906803131104,0.4622001349925995
14,0.4820493757724762,0.5570982694625854,0.48163965344429016,0.4625702500343323,0.5648396015167236,0.46218937635421753
